,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
135455,27,711.9,0.0,110.7,1.0,220.5,0.0,0.0,"Accolade, Inc.",0.6736370918519581,2007,2007,Plymouth Meeting,PA
135468,12,16.86,0.0,0.0,0.0,0.0,0.0,0.0,"Ripl, Inc.",0.8403711392439744,2012,2012,Bellevue,WA
135688,11,48.3,2.0,48.0,0.0,0.0,0.0,0.0,"Paystand, Inc.",0.8689156463523892,2013,2013,Scotts Valley,CA
135691,6,125.2,5.199999999999998,125.2,0.0,0.0,0.0,0.0,"TPS Unlimited, Inc.",0.8545674762504109,2013,2013,Woburn,MA
135804,8,122.0,0.0,122.0,0.0,0.0,0.0,0.0,Premise Data Corporation,0.7658215013707343,2012,2012,San Francisco,CA
135839,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"SiteAdvisor, Inc.",0.9043965242252452,2005,2005,Boston,MA
136011,6,300.0,0.0,300.0,0.0,0.0,0.0,0.0,Expa,0.9251381363742472,2013,2013,San Francisco,CA
136013,5,1.01,0.8200000000000001,0.8200000000000001,0.0,0.0,0.0,0.0,"Loci Controls, Inc.",0.8824053707362698,2013,2013,Fall River,MA
136018,13,20.1,8.6,8.6,0.0,0.0,0.0,0.0,"Inbox Health, Corp.",0.8771429196972882,2013,2013,New Haven,CT
136037,2,0.42,0.4,0.4,0.0,0.0,1.0,0.21,"Noonswoon Co., Ltd.",0.7877983040872001,2013,2013,Menlo Park,CA
136128,9,70.5,0.0,46.5,0.0,0.0,0.0,0.0,"Cloud4Wi, Inc.",0.7180417397921104,2013,2013,San Francisco,CA
136210,1,0.33,0.0,0.33,0.0,0.0,0.0,0.0,"OpenSearchServer, Inc.",0.8957233059890163,2010,2010,San Francisco,CA
136293,15,44.49,5.4,42.9,0.0,0.0,0.0,0.0,"Choozle, Inc.",0.9206145310934788,2012,2012,Denver,CO
136310,6,85.19999999999997,0.0,85.19999999999997,0.0,0.0,0.0,0.0,"LeanData, Inc.",0.9148131941288,2012,2012,Sunnyvale,CA
136319,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Summit Infrastructure Group, Inc.",0.7852576632665628,2013,2013,Dulles,VA
136336,10,6.9,6.8,6.8,0.0,0.0,0.0,0.0,Pay By Group Inc.,0.9116094411509476,2012,2012,San Francisco,CA
136426,10,9.52,0.26,2.02,0.0,0.0,0.0,0.0,"Faraday, Inc.",0.8096975329372114,2012,2012,Burlington,VT
136662,8,5.6,2.4,2.4,0.0,0.0,0.0,0.0,Codementor,0.8478850406098474,2013,2013,Palo Alto,CA
136769,21,300.0,0.0,300.0,0.0,0.0,0.0,0.0,"Forter, Inc.",0.8686791343313047,2013,2013,New York,NY
136770,28,1390.0,0.0,215.0,0.0,0.0,0.0,0.0,BlueVine Capital Inc.,0.86123368930749,2013,2013,Redwood City,CA
137018,2,1.71,1.71,1.71,0.0,0.0,0.0,0.0,"Cambly, Inc.",0.90815546813604,2013,2013,San Francisco,CA
137029,15,18.66,7.5,7.5,0.0,0.0,0.0,0.0,"TrueVault, Inc.",0.8568752175516814,2013,2013,Palo Alto,CA
137033,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AirPair, Inc.",0.8174258447022348,2013,2013,San Francisco,CA
137036,6,14.6,4.6,14.6,0.0,0.0,0.0,0.0,SendWithUs,0.8674860437845402,2013,2013,San Francisco,CA
137049,6,6.0,6.0,6.0,0.0,0.0,1.0,0.0,Wit.AI,0.909637362050003,2013,2013,Palo Alto,CA
137054,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Kimono Labs, Inc.",0.8007024525041159,2014,2014,San Francisco,CA
137055,3,2.0,2.0,2.0,0.0,0.0,1.0,0.0,"Framed Data, Inc.",0.8604216440616964,2013,2013,San Francisco,CA
137139,8,6.4,0.15,0.73,1.0,0.0,0.0,0.0,"MassRoots, Inc.",0.7811703387377246,2013,2013,Denver,CO
137208,6,492.0,0.0,32.0,0.0,0.0,1.0,230.0,JN PROJECTS Inc.,0.6240034538229613,2011,2011,San Francisco,CA
137237,25,85.97999999999998,2.4000000000000004,44.75999999999999,0.0,0.0,0.0,0.0,"Kaizen Platform, Inc.",0.932107586822652,2013,2013,New Castle,DE
137547,4,87.5,0.0,0.0,0.0,0.0,0.0,0.0,ThinkHR Corporation,0.7855715144507579,2005,2005,Pleasanton,CA
137662,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Atlantic Metro Communications, Inc.",0.7787349604249961,2007,2007,Parsippany,NJ
137663,8,242.0,0.0,242.0,0.0,0.0,0.0,0.0,"Clari, Inc.",0.7999795088882159,2012,2012,Sunnyvale,CA
137683,4,120.0,0.0,80.0,0.0,0.0,0.0,0.0,"Imgur, Inc.",0.9065262992172164,2009,2009,San Francisco,CA
137688,4,550.1,0.1,550.1,0.0,0.0,0.0,0.0,"Reddit, Inc.",0.8806709648579684,2005,2005,San Francisco,CA
137783,14,21.28,0.5,19.3,0.0,0.0,1.0,0.0,"GameChanger Media, Inc.",0.00982657670870395,2009,2009,New York,NY
137786,8,20.38,2.0,12.0,0.0,0.0,0.0,0.0,MyAlerts Inc.,0.8004461120009749,2012,2012,Austin,TX
137835,4,3.2,2.4,2.4,0.0,0.0,0.0,0.0,Whitetruffle,0.6128210658415091,2011,2011,San Francisco,CA
137970,5,29.02,0.02,27.02,0.0,0.0,0.0,0.0,"Neura, Inc.",0.9187083203487588,2013,2013,Sunnyvale,CA
